entity_code,park_code,queue_times_id,queue_times_name,touringplans_name,match_score
MK178,mk,6699,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,1.0
MK18,mk,1214,Country Bear Musical Jamboree,Country Bear Musical Jamboree,1.0
MK191,mk,11527,TRON Lightcycle / Run,TRON Lightcycle / Run,1.0
MK21,mk,1189,"Walt Disney World Railroad - Main Street, U.S.A.","Walt Disney World Railroad - Main Street, U.S.A.",1.0
MK210,mk,13630,Tiana's Bayou Adventure,Tiana's Bayou Adventure,1.0
MK22,mk,356,The Hall of Presidents,The Hall of Presidents,1.0
MK23,mk,140,Haunted Mansion,The Haunted Mansion,1.0
MK25,mk,147,Meet Ariel at Her Grotto,Meet Ariel at Her Grotto,1.0
MK26,mk,161,Prince Charming Regal Carrousel,Prince Charming Regal Carrousel,1.0
MK27,mk,132,Dumbo the Flying Elephant,Dumbo the Flying Elephant,1.0
MK28,mk,133,"""it's a small world""","""it's a small world""",1.0
MK29,mk,135,Mad Tea Party,Mad Tea Party,1.0
MK30,mk,171,Mickey's PhilharMagic,Mickey's PhilharMagic,1.0
MK34,mk,126,The Barnstormer,The Barnstormer,1.0
MK39,mk,248,Astro Orbiter,Astro Orbiter,1.0
MK40,mk,125,Monsters Inc. Laugh Floor,"Monsters, Inc. Laugh Floor",0.98
MK43,mk,143,Tomorrowland Speedway,Tomorrowland Speedway,1.0
MK44,mk,1190,Tomorrowland Transit Authority PeopleMover,Tomorrowland Transit Authority PeopleMover,1.0
MK45,mk,457,Walt Disney's Carousel of Progress,Walt Disney's Carousel of Progress,1.0
MK46,mk,334,Walt Disney's Enchanted Tiki Room,Walt Disney's Enchanted Tiki Room,1.0
MK49,mk,1181,Walt Disney World Railroad - Fantasyland,Walt Disney World Railroad - Fantasyland,1.0
MK95,mk,1188,Main Street Vehicles,Main Street Vehicles,1.0
MK96,mk,146,Meet Mickey at Town Square Theater,Meet Mickey at Town Square Theater,1.0
UF13,uf,8721,Jurassic World VelociCoaster,Woody Woodpecker's Nuthouse Coaster,0.52
UF155,uf,6004,The Incredible Hulk Coaster®,Trolls Trollercoaster,0.53
UF164,uf,5987,The Cat in The Hat™,CineSational: A Symphonic Spectacular,0.52
UF48,uf,5999,Pteranodon Flyers™,Transformers: The Ride-3D,0.53
UF5985,uf,5985,The Amazing Adventures of Spider-Man®,,0.0
UF5986,uf,5986,Caro-Seuss-el™,,0.0
UF5988,uf,5988,Doctor Doom's Fearfall®,,0.0
UF5989,uf,5989,Dudley Do-Right's Ripsaw Falls®,,0.0
UF5991,uf,5991,Flight of the Hippogriff™,,0.0
UF5994,uf,5994,Jurassic Park River Adventure™,,0.0
UF5997,uf,5997,"One Fish, Two Fish, Red Fish, Blue Fish™",,0.0
UF5998,uf,5998,Popeye & Bluto's Bilge-Rat Barges®,,0.0
UF6001,uf,6001,The High in the Sky Seuss Trolley Train Ride!™,,0.0
UF6003,uf,6003,Storm Force Accelatron®,,0.0
UF6008,uf,6008,Camp Jurassic™,,0.0
UF6011,uf,6011,If I Ran The Zoo™,,0.0
UF6012,uf,6012,Jurassic Park Discovery Center™,,0.0
UF6017,uf,6017,Skull Island: Reign of Kong™,,0.0
UF63,uf,5992,Harry Potter and the Forbidden Journey™,Harry Potter and the Escape from Gringotts,0.63
UF64,uf,6015,Hogwarts™ Express - Hogsmeade™ Station,Hogwarts Express - King's Cross Station,0.76
UF66,uf,13098,Ollivanders™ Experience in Hogsmeade™,Ollivanders Experience in Diagon Alley,0.75
UF6682,uf,6682,Hagrid's Magical Creatures Motorbike Adventure™,,0.0
UF69,uf,13113,Harry Potter and the Forbidden Journey™ Single Rider,Harry Potter and the Escape from Gringotts Single Rider,0.73
