district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Lynn Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/lynn-public-schools/,lynn-public-schools,2026-04-20,2026-04-24,2025-12-22,2026-01-02,2026-06-17,2025-09-08,2025-09-08,2026-06-17,2025-2026,2026-03-08
MT Diablo Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/mt-diablo-unified-school-district/,mt-diablo-unified-school-district,2026-04-06,2026-04-13,2025-12-22,2026-01-02,2026-06-02,2025-08-06,2025-08-06,2026-06-02,2025-2026,2026-03-08
Madera Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/madera-unified-school-district/,madera-unified-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-12,2026-06-05,2025-08-07,2025-08-07,2026-06-05,2025-2026,2026-03-08
Madison County Schools 2025-2026 (Kentucky),Kentucky,https://schoolcalendarinfo.com/madison-county-schools/,madison-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-19,2025-08-13,2025-08-13,2026-05-19,2025-2026,2026-03-08
Magnolia Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/magnolia-independent-school-district/,magnolia-independent-school-district,2025-03-10,2025-03-14,2024-12-23,2025-01-07,2025-05-23,2024-08-08,2024-08-08,2025-05-23,2025-2026,2026-03-08
Malden Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/malden-public-schools/,malden-public-schools,2026-04-23,2026-04-27,2025-12-24,2026-01-02,2026-06-15,2025-08-27,2025-08-27,2026-06-15,2025-2026,2026-03-08
Manassas Park City Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/manassas-park-city-schools/,manassas-park-city-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-11,2025-08-18,2025-08-18,2026-06-11,2025-2026,2026-03-08
Manatee County School District 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/manatee-county-school-district/,manatee-county-school-district,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Manchester School District 2025-2026 in PDF,New Hampshire,https://schoolcalendarinfo.com/manchester-school-district/,manchester-school-district,2026-04-27,2026-05-01,2025-12-24,2026-01-02,2026-06-17,2025-09-04,2025-09-04,2026-06-17,2025-2026,2026-03-08
Manhasset Schools Holidays 2025-2026 | Download PDF,New York,https://schoolcalendarinfo.com/manhasset-schools/,manhasset-schools,2026-04-02,2026-04-10,2025-12-24,2026-01-02,2026-06-26,2025-09-02,2025-09-02,2026-06-26,2025-2026,2026-03-08
Mansfield Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/mansfield-independent-school-district/,mansfield-independent-school-district,2026-03-16,2026-03-20,2025-12-19,2026-01-06,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Manteca Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/manteca-unified-school-district/,manteca-unified-school-district,,,,,2026-05-29,2025-08-04,2025-08-04,2026-05-29,2025-2026,2026-03-08
Marion County Public Schools 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/marion-county-public-schools/,marion-county-public-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-06,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Marple Newtown School District 2025-2026 in PDF,Delaware,https://schoolcalendarinfo.com/marple-newtown-school-district/,marple-newtown-school-district,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-12,2025-09-02,2025-09-02,2026-06-12,2025-2026,2026-03-08
Martin County School 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/martin-county-school/,martin-county-school,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Mason City Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/mason-city-schools-calendar-2023-2024-in-pdf/,mason-city-schools-calendar-2023-2024-in-pdf,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-22,2025-08-14,2025-08-14,2026-05-22,2025-2026,2026-03-08
Maury County Schools 2025-2026 in PDF | MCPS Holidays,Tennessee,https://schoolcalendarinfo.com/maury-county-schools/,maury-county-schools,2026-04-02,2026-04-10,2025-12-22,2026-01-05,2026-05-21,2025-08-04,2025-08-04,2026-05-21,2025-2026,2026-03-08
McKinney Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/mckinney-independent-school-district/,mckinney-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-12,2025-08-12,2026-05-21,2025-2026,2026-03-08
Medfield Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/medfield-public-schools/,medfield-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-15,2025-08-27,2025-08-27,2026-06-15,2025-2026,2026-03-08
Medina City Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/medina-city-schools/,medina-city-schools,2026-03-30,2026-04-06,2025-12-19,2026-01-02,2026-05-28,2025-08-19,2025-08-19,2026-05-28,2025-2026,2026-03-08
Mehlville School District 2025-2026 in PDF,Missouri,https://schoolcalendarinfo.com/mehlville-school-district/,mehlville-school-district,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-18,2025-08-18,2026-05-22,2025-2026,2026-03-08
Mentor Public Schools 2025-2026 in PDF | Holidays,Ohio,https://schoolcalendarinfo.com/mentor-public-schools/,mentor-public-schools,2026-03-13,2026-03-20,2025-12-19,2026-01-02,2026-05-28,2025-08-18,2025-08-18,2026-05-28,2025-2026,2026-03-08
Mercer Island School District 2025-2026 in PDF,Washington,https://schoolcalendarinfo.com/mercer-island-school-district/,mercer-island-school-district,2026-04-13,2026-04-17,2025-12-22,2026-01-05,2026-06-18,2025-08-27,2025-08-27,2026-06-18,2025-2026,2026-03-08
Meriden Public Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/meriden-public-schools/,meriden-public-schools,2026-04-13,2026-04-17,2025-12-24,2026-01-02,2026-06-10,2025-08-27,2025-08-27,2026-06-10,2025-2026,2026-03-08
Merrillville Community School Corporation 2025-2026,Indiana,https://schoolcalendarinfo.com/merrillville-community-school-corporation/,merrillville-community-school-corporation,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-05-29,2025-08-13,2025-08-13,2026-05-29,2025-2026,2026-03-08
Mesa Public Schools 2025-2026 in PDF,Arizona,https://schoolcalendarinfo.com/mesa-public-schools/,mesa-public-schools,2026-03-16,2026-03-20,2025-12-19,2026-01-05,2026-05-21,2025-07-31,2025-07-31,2026-05-21,2025-2026,2026-03-08
Metro Nashville Public Schools 2025-2026,Tennessee,https://schoolcalendarinfo.com/metro-nashville-public-schools/,metro-nashville-public-schools,2026-03-09,2026-03-13,2025-12-22,2026-01-06,2026-05-21,2025-08-05,2025-08-05,2026-05-21,2025-2026,2026-03-08
Miami-Dade County Public Schools Holidays 2022-2023,,https://schoolcalendarinfo.com/miami-dade-county-public-schools/,miami-dade-county-public-schools,2026-03-20,2026-03-27,2025-12-22,2026-01-02,2026-06-04,2025-08-14,2025-08-14,2026-06-04,2025-2026,2026-03-08
Mid Del School 2025-2026 in PDF,Oklahoma,https://schoolcalendarinfo.com/mid-del-school/,mid-del-school,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-20,2025-08-13,2025-08-13,2026-05-20,2025-2026,2026-03-08
Middletown School District 2025-2026 PDF (New Jersey),New Jersey,https://schoolcalendarinfo.com/middletown-school-district/,middletown-school-district,2026-03-30,2026-04-06,2025-12-24,2026-01-02,2026-06-18,2025-09-02,2025-09-02,2026-06-18,2025-2026,2026-03-08
Midland Public Schools 2025-26 PDF | MPS Michigan,Michigan,https://schoolcalendarinfo.com/midland-public-schools/,midland-public-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-03,2025-08-19,2025-08-19,2026-06-03,2025-2026,2026-03-08
Milford Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/milford-public-schools/,milford-public-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-02,2026-06-11,2025-08-28,2025-08-28,2026-06-11,2025-2026,2026-03-08
Millard Public Schools 2025-2026 in PDF,Nebraska,https://schoolcalendarinfo.com/millard-public-schools-calendar/,millard-public-schools-calendar,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-28,2025-08-12,2025-08-12,2026-05-28,2025-2026,2026-03-08
Milton Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/milton-public-schools/,milton-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-17,2025-08-27,2025-08-27,2026-06-17,2025-2026,2026-03-08
Milwaukee Public Schools 2025-2026 (Wisconsin),Wisconsin,https://schoolcalendarinfo.com/milwaukee-public-schools/,milwaukee-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-15,2025-09-02,2025-09-02,2026-06-15,2025-2026,2026-03-08
Minneapolis Public Schools Holidays 2025-2026,,https://schoolcalendarinfo.com/minneapolis-public-schools/,minneapolis-public-schools,2026-03-27,2026-04-03,2025-12-22,2026-01-02,2026-06-10,2025-09-02,2025-09-02,2026-06-10,2025-2026,2026-03-08
Minnetonka Schools 2025-2026 in PDF,Minnesota,https://schoolcalendarinfo.com/minnetonka-schools/,minnetonka-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-05,2026-06-10,2025-09-02,2025-09-02,2026-06-10,2025-2026,2026-03-08
Minot Public Schools 2025-2026 in PDF,North Dakota,https://schoolcalendarinfo.com/minot-public-schools/,minot-public-schools,,,2025-12-24,2026-01-02,2026-05-21,2025-08-20,2025-08-20,2026-05-21,2025-2026,2026-03-08
Mobile County Public Schools 2025-2026 in PDF,Alabama,https://schoolcalendarinfo.com/mobile-county-public-schools/,mobile-county-public-schools,2026-04-13,2026-04-17,2025-12-22,2026-01-05,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Monongalia County Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/monongalia-county-schools/,monongalia-county-schools,2026-04-02,2026-04-06,2025-12-22,2026-01-02,2026-05-28,2025-08-19,2025-08-19,2026-05-28,2025-2026,2026-03-08
Moore Schools 2025-2026 in PDF | Holiday Breaks,Oklahoma,https://schoolcalendarinfo.com/moore-schools/,moore-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-05-20,2025-08-12,2025-08-12,2026-05-20,2025-2026,2026-03-08
Mooresville Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/mooresville-schools/,mooresville-schools,2026-03-27,2026-04-03,2025-12-22,2026-01-02,2026-05-22,2025-08-05,2025-08-05,2026-05-22,2025-2026,2026-03-08
Morgan County Schools 2025-2026 PDF | MCS Holidays,Alabama,https://schoolcalendarinfo.com/morgan-county-schools/,morgan-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-21,2025-08-08,2025-08-08,2026-05-21,2025-2026,2026-03-08
Mosinee School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/mosinee-school-district/,mosinee-school-district,2026-03-30,2026-04-06,2025-12-24,2026-01-02,2026-05-22,2025-08-19,2025-08-19,2026-05-22,2025-2026,2026-03-08
Mounds View Public Schools 2025-2026 in PDF,Minnesota,https://schoolcalendarinfo.com/mounds-view-public-schools/,mounds-view-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-06-05,2025-09-02,2025-09-02,2026-06-05,2025-2026,2026-03-08
