district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Greene County Schools 2025-2026 in PDF,Tennessee,https://schoolcalendarinfo.com/greene-county-schools/,greene-county-schools,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-20,2025-08-06,2025-08-06,2026-05-20,2025-2026,2026-03-08
Greenville County School District Holidays 2025-2026 PDF,South Carolina,https://schoolcalendarinfo.com/greenville-county-schools/,greenville-county-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Greenwich Public Schools 2025-2026 in PDF,Connecticut,https://schoolcalendarinfo.com/greenwich-public-schools/,greenwich-public-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-02,2026-06-24,2025-08-29,2025-08-29,2026-06-24,2025-2026,2026-03-08
Guilford County Schools Holidays 2025-2026 PDF,North Carolina,https://schoolcalendarinfo.com/guilford-county-schools/,guilford-county-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-10,2025-08-25,2025-08-25,2026-06-10,2025-2026,2026-03-08
Gulf Shores City Schools 2025-2026 in PDF,Alabama,https://schoolcalendarinfo.com/gulf-shores-city-schools/,gulf-shores-city-schools,2026-04-13,2026-04-17,2025-12-22,2026-01-05,2026-05-22,2025-08-07,2025-08-07,2026-05-22,2025-2026,2026-03-08
Gwinnett County Public Schools Holidays 2025-2026,Georgia,https://schoolcalendarinfo.com/gwinnett-county-public-schools-calendar/,gwinnett-county-public-schools-calendar,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-20,2025-08-04,2025-08-04,2026-05-20,2025-2026,2026-03-08
Habersham County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/habersham-county-schools/,habersham-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-22,2025-08-08,2025-08-08,2026-05-22,2025-2026,2026-03-08
Halifax County Public Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/halifax-county-public-schools/,halifax-county-public-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-06,2026-05-28,2025-08-13,2025-08-13,2026-05-28,2025-2026,2026-03-08
Hall County School District 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/hall-county-school-district/,hall-county-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-08-01,2025-08-01,2026-05-20,2025-2026,2026-03-08
Hamblen County Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/hamblen-county-schools/,hamblen-county-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-20,2025-08-04,2025-08-04,2026-05-20,2025-2026,2026-03-08
Hamden Public Schools 2025-2026 (Connecticut),Connecticut,https://schoolcalendarinfo.com/hamden-public-schools/,hamden-public-schools,2026-04-13,2026-04-17,2025-12-24,2026-01-06,2026-06-11,2025-08-25,2025-08-25,2026-06-11,2025-2026,2026-03-08
Hamilton County Department of Education 2025-2026,,https://schoolcalendarinfo.com/hamilton-county-department-of-education/,hamilton-county-department-of-education,2026-03-16,2026-03-23,2025-12-22,2026-01-06,2026-05-21,2025-08-06,2025-08-06,2026-05-21,2025-2026,2026-03-08
Hamilton Southeastern Schools 2025-2026 in PDF,Indiana,https://schoolcalendarinfo.com/hamilton-southeastern-schools/,hamilton-southeastern-schools,,,2025-12-22,2026-01-02,2026-05-22,2025-08-06,2025-08-06,2026-05-22,2025-2026,2026-03-08
Hampton City Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/hampton-city-schools/,hampton-city-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-06-10,2025-08-25,2025-08-25,2026-06-10,2025-2026,2026-03-08
Hartford Public Schools 2025-2026 in PDF,Connecticut,https://schoolcalendarinfo.com/hartford-public-schools/,hartford-public-schools,2026-04-13,2026-04-17,2025-12-24,2026-01-06,2026-06-16,2025-08-26,2025-08-26,2026-06-16,2025-2026,2026-03-08
Hawaii Schools 2025-2026 | Hawaii State DOE,Hawaii,https://schoolcalendarinfo.com/hawaii-schools/,hawaii-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-28,2025-08-04,2025-08-04,2026-05-28,2025-2026,2026-03-08
Hawkins County Schools 2025-2026 in PDF,Tennessee,https://schoolcalendarinfo.com/hawkins-county-schools/,hawkins-county-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-04,2025-08-04,2026-05-22,2025-2026,2026-03-08
Haywood County Schools 2025-26 PDF | North Carolina,North Carolina,https://schoolcalendarinfo.com/haywood-county-schools/,haywood-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
Hazelwood School District 2025-2026 in PDF,Missouri,https://schoolcalendarinfo.com/hazelwood-school-district/,hazelwood-school-district,2026-03-20,2026-03-27,2025-12-22,2026-01-02,2026-05-22,2025-08-18,2025-08-18,2026-05-22,2025-2026,2026-03-08
Henrico County Public Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/henrico-county-public-schools/,henrico-county-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
Henry County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/henry-county-schools/,henry-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-06,2026-05-22,2025-07-31,2025-07-31,2026-05-22,2025-2026,2026-03-08
Hernando County Schools 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/hernando-county-schools/,hernando-county-schools,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-29,2025-08-11,2025-08-11,2026-05-29,2025-2026,2026-03-08
Hesperia Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/hesperia-unified-school-district/,hesperia-unified-school-district,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-28,2025-08-06,2025-08-06,2026-05-28,2025-2026,2026-03-08
Highland Park ISD 2025-2026 PDF (Dallas),Texas,https://schoolcalendarinfo.com/highland-park-isd/,highland-park-isd,2026-03-16,2026-03-20,2025-12-22,2026-01-06,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Highlands County Schools 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/highlands-county-schools/,highlands-county-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Hillsborough County Public Schools Holidays 2025-2026,,https://schoolcalendarinfo.com/hillsborough-county-public-schools/,hillsborough-county-public-schools,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-29,2025-08-11,2025-08-11,2026-05-29,2025-2026,2026-03-08
Hoke County Schools 2025-2026 | HCS Holidays,,https://schoolcalendarinfo.com/hoke-county-schools/,hoke-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Holmdel Township Schools 2025-2026 (Academic Year),New Jersey,https://schoolcalendarinfo.com/holmdel-township-schools/,holmdel-township-schools,2026-04-02,2026-04-07,2025-12-24,2026-01-02,2026-06-18,2025-09-03,2025-09-03,2026-06-18,2025-2026,2026-03-08
Holyoke Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/holyoke-public-schools/,holyoke-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-06-15,2025-08-25,2025-08-25,2026-06-15,2025-2026,2026-03-08
Horry County Schools 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/horry-county-schools/,horry-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-06-04,2025-08-18,2025-08-18,2026-06-04,2025-2026,2026-03-08
Houston County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/houston-county-schools/,houston-county-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-05-20,2025-07-30,2025-07-30,2026-05-20,2025-2026,2026-03-08
Houston Independent School District 2025-2026 PDF,Texas,https://schoolcalendarinfo.com/houston-independent-school-district/,houston-independent-school-district,2026-03-09,2026-03-13,2025-12-22,2026-01-05,2026-06-04,2025-08-12,2025-08-12,2026-06-04,2025-2026,2026-03-08
Howard County Public Schools 2025-2026 PDF,Maryland,https://schoolcalendarinfo.com/howard-county-public-schools/,howard-county-public-schools,2026-03-30,2026-04-06,2025-12-24,2026-01-02,2026-06-15,2025-08-25,2025-08-25,2026-06-15,2025-2026,2026-03-08
Howell Township Public Schools 2025-2026 | New Jersey,New Jersey,https://schoolcalendarinfo.com/howell-township-public-schools/,howell-township-public-schools,2026-03-30,2026-04-06,2025-12-24,2026-01-02,2026-06-23,2025-09-04,2025-09-04,2026-06-23,2025-2026,2026-03-08
Huntsville City Schools 2025-2026 in PDF,Alabama,https://schoolcalendarinfo.com/huntsville-city-schools/,huntsville-city-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-04,2025-08-04,2026-05-21,2025-2026,2026-03-08
Hutchinson Public Schools 2025-2026 (Minnesota),Minnesota,https://schoolcalendarinfo.com/hutchinson-public-schools/,hutchinson-public-schools,2026-03-06,2026-03-13,2025-12-24,2026-01-02,2026-06-04,2025-09-02,2025-09-02,2026-06-04,2025-2026,2026-03-08
Indianapolis Public Schools Holidays 2025-2026 PDF,Indiana,https://schoolcalendarinfo.com/indianapolis-public-schools/,indianapolis-public-schools,2026-03-16,2026-03-20,2025-12-19,2026-01-02,2026-05-21,2025-08-04,2025-08-04,2026-05-21,2025-2026,2026-03-08
Iredell-Statesville Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/iredell-statesville-schools/,iredell-statesville-schools,2026-03-09,2026-03-13,2025-12-22,2026-01-02,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Iron County School District 2025-2026 in PDF,Utah,https://schoolcalendarinfo.com/iron-county-school-district/,iron-county-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Irving Independent School District 2025-2026 in PDF,Texas,https://schoolcalendarinfo.com/irving-independent-school-district/,irving-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-28,2025-08-13,2025-08-13,2026-05-28,2025-2026,2026-03-08
Issaquah School District 2025-2026 in PDF,Washington,https://schoolcalendarinfo.com/issaquah-school-district/,issaquah-school-district,2026-04-13,2026-04-17,2025-12-22,2026-01-02,2026-06-17,2025-08-28,2025-08-28,2026-06-17,2025-2026,2026-03-08
Jackson Public Schools 2025-2026 in PDF,Mississippi,https://schoolcalendarinfo.com/jackson-public-schools/,jackson-public-schools,2026-03-09,2026-03-13,2025-12-19,2026-01-02,2026-05-22,2025-07-28,2025-07-28,2026-05-22,2025-2026,2026-03-08
Jeffco Public Schools 2025-2026 &amp; Holidays,Colorado,https://schoolcalendarinfo.com/jeffco-public-schools/,jeffco-public-schools,2026-03-23,2026-03-30,2025-12-22,2026-01-06,2026-05-28,2025-08-19,2025-08-19,2026-05-28,2025-2026,2026-03-08
Jefferson County Public Schools 2025-2026 | Kentucky,Kentucky,https://schoolcalendarinfo.com/jefferson-county-public-schools/,jefferson-county-public-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-05-22,2025-08-07,2025-08-07,2026-05-22,2025-2026,2026-03-08
Jefferson County Schools Holidays 2025-2026 PDF,Alabama,https://schoolcalendarinfo.com/jefferson-county-schools/,jefferson-county-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-21,2025-08-07,2025-08-07,2026-05-21,2025-2026,2026-03-08
Jenks Public Schools 2025-2026 in PDF,Oklahoma,https://schoolcalendarinfo.com/jenks-public-schools/,jenks-public-schools,2026-03-12,2026-03-20,2025-12-22,2026-01-05,2026-05-15,2025-08-14,2025-08-14,2026-05-15,2025-2026,2026-03-08
Jericho Union Free School District 2025-2026 in PDF,New York,https://schoolcalendarinfo.com/jericho-union-free-school-district/,jericho-union-free-school-district,2026-04-02,2026-04-10,2025-12-24,2026-01-02,2026-06-26,2025-08-27,2025-08-27,2026-06-26,2025-2026,2026-03-08
Jersey City Public Schools 2025-2026 in PDF,New Jersey,https://schoolcalendarinfo.com/jersey-city-public-schools-2/,jersey-city-public-schools-2,2026-04-03,2026-04-10,2025-12-24,2026-01-02,,2025-09-04,2025-09-04,,2025-2026,2026-03-08
Jersey City Public Schools Holidays 2025-2026 PDF,New Jersey,https://schoolcalendarinfo.com/jersey-city-public-schools/,jersey-city-public-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-02,,2025-09-04,2025-09-04,,2025-2026,2026-03-08
Johnson City Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/johnson-city-schools/,johnson-city-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-04,2025-08-04,2026-05-22,2025-2026,2026-03-08
Johnston County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/johnston-county-schools/,johnston-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-27,2025-08-25,2025-08-25,2026-05-27,2025-2026,2026-03-08
Jones County School District 2025-2026 (Mississippi),Mississippi,https://schoolcalendarinfo.com/jones-county-school-district/,jones-county-school-district,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-06-05,2025-08-01,2025-08-01,2026-06-05,2025-2026,2026-03-08
Jordan School District Holidays 2025-2026,Utah,https://schoolcalendarinfo.com/jordan-school-district/,jordan-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-04,2025-08-07,2025-08-07,2026-06-04,2025-2026,2026-03-08
Kalamazoo Public Schools 2025-2026 in PDF,Michigan,https://schoolcalendarinfo.com/kalamazoo-public-schools/,kalamazoo-public-schools,2026-03-27,2026-04-03,2025-12-22,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Kansas Public Schools 2025-2026 in PDF,Kansas,https://schoolcalendarinfo.com/kansas-public-schools/,kansas-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-27,2025-08-18,2025-08-18,2026-05-27,2025-2026,2026-03-08
Katy Independent School District Holidays 2025-2026,Texas,https://schoolcalendarinfo.com/katy-independent-school-district/,katy-independent-school-district,2026-03-09,2026-03-13,2025-12-22,2026-01-05,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Kearney Public Schools 2025-2026 (Nebraska),Nebraska,https://schoolcalendarinfo.com/kearney-public-schools/,kearney-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-21,2025-08-14,2025-08-14,2026-05-21,2025-2026,2026-03-08
Keller Independent School District 2025-2026 (KISD),Texas,https://schoolcalendarinfo.com/keller-independent-school-district/,keller-independent-school-district,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Kent School District 2025-2026 in PDF | KSD Holidays,Washington,https://schoolcalendarinfo.com/kent-school-district/,kent-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-18,2025-08-27,2025-08-27,2026-06-18,2025-2026,2026-03-08
Kenton County Schools 2025-2026,Kentucky,https://schoolcalendarinfo.com/kenton-county-schools/,kenton-county-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Kershaw County School District 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/kershaw-county-school-district/,kershaw-county-school-district,2026-03-30,2026-04-03,2025-12-19,2026-01-06,2026-05-22,2025-08-04,2025-08-04,2026-05-22,2025-2026,2026-03-08
Kettering City School District 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/kettering-city-school-district/,kettering-city-school-district,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-21,2025-08-14,2025-08-14,2026-05-21,2025-2026,2026-03-08
Kirkwood School District 2025-2026 in PDF,Missouri,https://schoolcalendarinfo.com/kirkwood-school-district/,kirkwood-school-district,2026-03-16,2026-03-23,2025-12-22,2026-01-02,2026-05-21,2025-08-19,2025-08-19,2026-05-21,2025-2026,2026-03-08
Klein Independent School District Holidays 2025-2026 PDF,Texas,https://schoolcalendarinfo.com/klein-independent-school-district/,klein-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-06,2026-05-28,2025-08-13,2025-08-13,2026-05-28,2025-2026,2026-03-08
Knox County Schools Holidays 2025-2026 PDF,Tennessee,https://schoolcalendarinfo.com/knox-county-schools/,knox-county-schools,2026-03-09,2026-03-13,2025-12-22,2026-01-02,2026-05-21,2025-08-07,2025-08-07,2026-05-21,2025-2026,2026-03-08
Kokomo School Corporation 2025-2026 in PDF,Indiana,https://schoolcalendarinfo.com/kokomo-school-corporation/,kokomo-school-corporation,2026-03-30,2026-04-10,2025-12-22,2026-01-02,2026-05-28,2025-08-05,2025-08-05,2026-05-28,2025-2026,2026-03-08
Kyrene School District 2025-2026 in PDF,Arizona,https://schoolcalendarinfo.com/kyrene-school-district/,kyrene-school-district,2026-03-09,2026-03-23,2025-12-22,2026-01-05,2026-05-27,2025-07-23,2025-07-23,2026-05-27,2025-2026,2026-03-08
Ladue School District 2025-2026 in PDF,Missouri,https://schoolcalendarinfo.com/ladue-school-district/,ladue-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-27,2025-08-18,2025-08-18,2026-05-27,2025-2026,2026-03-08
Lafayette Parish Schools 2025-2026 in PDF,Louisiana,https://schoolcalendarinfo.com/lafayette-parish-schools/,lafayette-parish-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-21,2025-08-07,2025-08-07,2026-05-21,2025-2026,2026-03-08
Lake County Schools Holidays 2025-2026 PDF,Florida,https://schoolcalendarinfo.com/lake-county-schools/,lake-county-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-29,2025-08-11,2025-08-11,2026-05-29,2025-2026,2026-03-08
Lake Forest School District 67 2025-2026 in PDF,Illinois,https://schoolcalendarinfo.com/lake-forest-school-district-67/,lake-forest-school-district-67,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-06-05,2025-08-27,2025-08-27,2026-06-05,2025-2026,2026-03-08
Lake Havasu Unified School District 2025-2026,Arizona,https://schoolcalendarinfo.com/lake-havasu-unified-school-district/,lake-havasu-unified-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-07-31,2025-07-31,2026-05-21,2025-2026,2026-03-08
Lake Orion Community Schools 2025-2026 in PDF,Michigan,https://schoolcalendarinfo.com/lake-orion-community-schools/,lake-orion-community-schools,2026-03-27,2026-04-03,2025-12-22,2026-01-02,2026-06-09,2025-09-02,2025-09-02,2026-06-09,2025-2026,2026-03-08
Lake Washington School District 2025-2026 in PDF,Washington,https://schoolcalendarinfo.com/lake-washington-school-district/,lake-washington-school-district,2026-04-13,2026-04-17,2025-12-22,2026-01-02,2026-06-17,2025-09-02,2025-09-02,2026-06-17,2025-2026,2026-03-08
Lakota Schools 2025-2026 in PDF | Butler County Ohio,Ohio,https://schoolcalendarinfo.com/lakota-schools/,lakota-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-21,2025-08-14,2025-08-14,2026-05-21,2025-2026,2026-03-08
Lancaster City Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/lancaster-city-schools/,lancaster-city-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Lansing School District 2025-2026 in PDF,Michigan,https://schoolcalendarinfo.com/lansing-school-district/,lansing-school-district,2026-03-27,2026-04-03,2025-12-22,2026-01-02,2026-06-05,2025-08-20,2025-08-20,2026-06-05,2025-2026,2026-03-08
Las Cruces Public Schools 2025-2026,New Mexico,https://schoolcalendarinfo.com/las-cruces-public-schools/,las-cruces-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-06,2026-05-21,2025-07-25,2025-07-25,2026-05-21,2025-2026,2026-03-08
Las Vegas City Public Schools Holidays 2025-2026,New Mexico,https://schoolcalendarinfo.com/las-vegas-city-public-schools/,las-vegas-city-public-schools,2026-04-02,2026-04-06,2025-12-22,2026-01-05,2026-05-22,2025-08-07,2025-08-07,2026-05-22,2025-2026,2026-03-08
Lauderdale County Schools 2025-2026 in PDF,Alabama,https://schoolcalendarinfo.com/lauderdale-county-schools/,lauderdale-county-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-21,2025-08-07,2025-08-07,2026-05-21,2025-2026,2026-03-08
Laurel County Public Schools 2025-2026 in PDF,Kentucky,https://schoolcalendarinfo.com/laurel-county-public-schools/,laurel-county-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-14,2025-08-07,2025-08-07,2026-05-14,2025-2026,2026-03-08
Lawrence Public Schools 2025-2026 (Massachusetts),Massachusetts,https://schoolcalendarinfo.com/lawrence-public-schools/,lawrence-public-schools,2026-04-20,2026-04-24,2025-12-22,2026-01-02,2026-06-24,2025-08-25,2025-08-25,2026-06-24,2025-2026,2026-03-08
Lawton Public Schools 2025-2026 in PDF,Oklahoma,https://schoolcalendarinfo.com/lawton-public-schools/,lawton-public-schools,2026-03-16,2026-03-20,2025-12-19,2026-01-02,2026-05-21,2025-08-04,2025-08-04,2026-05-21,2025-2026,2026-03-08
Leander Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/leander-independent-school-district/,leander-independent-school-district,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-29,2025-08-13,2025-08-13,2026-05-29,2025-2026,2026-03-08
Lebanon City School District 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/lebanon-city-school-district/,lebanon-city-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-28,2025-08-20,2025-08-20,2026-05-28,2025-2026,2026-03-08
Lee County School District 2025-2026,Florida,https://schoolcalendarinfo.com/lee-county-school-district/,lee-county-school-district,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-06-01,2025-08-11,2025-08-11,2026-06-01,2025-2026,2026-03-08
Lee’s Summit School District 2025-2026 in PDF,Missouri,https://schoolcalendarinfo.com/lees-summit-school-district/,lees-summit-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-20,2025-08-20,2026-05-22,2025-2026,2026-03-08
Leon County Schools Holidays 2025-2026 PDF,Florida,https://schoolcalendarinfo.com/leon-county-schools/,leon-county-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-06,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Lewisville Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/lewisville-independent-school-district/,lewisville-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Lexington Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/lexington-public-schools/,lexington-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-17,2025-08-26,2025-08-26,2026-06-17,2025-2026,2026-03-08
Liberty County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/liberty-county-schools/,liberty-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-06,2026-05-22,2025-08-06,2025-08-06,2026-05-22,2025-2026,2026-03-08
Lincoln Public Schools 2025-2026 in PDF,Nebraska,https://schoolcalendarinfo.com/lincoln-public-schools/,lincoln-public-schools,2026-03-09,2026-03-13,2025-12-22,2026-01-02,2026-05-21,2025-08-12,2025-08-12,2026-05-21,2025-2026,2026-03-08
Little Miami Schools 2025-2026 &amp; Holiday Breaks,Ohio,https://schoolcalendarinfo.com/little-miami-schools/,little-miami-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-21,2025-08-11,2025-08-11,2026-05-21,2025-2026,2026-03-08
