leaid,lea_name,state,city,enrollment_2324,website,lea_type,operational_schools
0602143,Gabriella Charter District,CA,Los Angeles,400,http://www.gabriellacharterschools.org,Independent charter district,1
0602378,Family Partnership Charter District,CA,Santa Maria,400,http://www.fpcharter.org,Independent charter district,1
0602462,ARISE High District,CA,Oakland,400,http://www.arisehighschool.org,Independent charter district,1
1740530,Wallace CCSD 195,IL,Ottawa,400,http://www.wallacegs.org,Regular public school district that is not a component of a supervisory union,2
1800164,Career Academy Middle School,IN,South Bend,400,http://careeracademysb.com/,Independent charter district,1
2507470,Mattapoisett,MA,Mattapoisett,400,http://www.oldrochester.org,Regular public school district that is not a component of a supervisory union,2
2601058,LifeTech Academy,MI,EATON RAPIDS,400,http://lifetechacademy.org,Independent charter district,1
3200450,Storey,NV,Virginia City,400,http://www.storey.k12.nv.us,Regular public school district that is not a component of a supervisory union,4
3400050,Hunterdon County Vocational School District,NJ,Flemington,400,http://www.hcpolytech.org,Specialized public school district,3
3409960,Merchantville School District,NJ,Merchantville,400,http://www.merchantvilleschool.org,Regular public school district that is not a component of a supervisory union,1
3601090,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II,NY,NEW YORK,400,http://www.eastharlemscholars.org,Independent charter district,1
3601140,SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 3,NY,BROOKLYN,400,http://www.successacademies.org,Independent charter district,1
4801466,BLOOM ACADEMY CHARTER SCHOOL,TX,HOUSTON,400,http://www.bloomacademy.org,Independent charter district,1
4830180,MEMPHIS ISD,TX,MEMPHIS,400,http://www.memphisisd.net,Regular public school district that is not a component of a supervisory union,4
0601662,Kavod Charter District,CA,San Diego,399,http://kavodcharter.org,Independent charter district,1
0602386,Diego Valley East Public Charter District,CA,El Cajon,399,http://www.diegovalleyeast.org,Independent charter district,1
0806390,Sanford School District No. 6 in the county of Conejos and,CO,SANFORD,399,http://www.sanfordschools.org,Regular public school district that is not a component of a supervisory union,2
1100005,Cesar Chavez PCS for Public Policy,DC,Washington,399,http://www.chavezschools.org,Independent charter district,1
2100090,Anchorage Independent,KY,Anchorage,399,http://www.anchorage-school.org/,Regular public school district that is not a component of a supervisory union,1
