district_name,state,source_slug,school_year,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,source
Greenville County School District Holidays 2025-2026 PDF,South Carolina,greenville-county-schools,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Gretna Public Schools 2025-2026 in PDF,,gretna-public-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-03,2025-05-23,2024-08-14,2024-08-14,2025-05-23,schoolcalendarinfo.com (current page)
Guilford County Schools Holidays 2025-2026 PDF,North Carolina,guilford-county-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-03,2025-06-11,2024-08-26,2024-08-26,2025-06-11,schoolcalendarinfo.com (current page)
Gulf Shores City Schools 2025-2026 in PDF,Alabama,gulf-shores-city-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-06,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Gwinnett County Public Schools Holidays 2025-2026,Georgia,gwinnett-county-public-schools-calendar,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-21,2024-08-05,2024-08-05,2025-05-21,schoolcalendarinfo.com (current page)
Habersham County Schools 2025-2026 in PDF,Georgia,habersham-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-23,2024-08-02,2024-08-02,2025-05-23,schoolcalendarinfo.com (current page)
Halifax County Public Schools 2025-2026 in PDF,Virginia,halifax-county-public-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-22,2024-08-12,2024-08-12,2025-05-22,schoolcalendarinfo.com (current page)
Hamden Public Schools 2025-2026 (Connecticut),Connecticut,hamden-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-11,2024-08-26,2024-08-26,2025-06-11,schoolcalendarinfo.com (current page)
Hamilton Southeastern Schools 2025-2026 in PDF,Indiana,hamilton-southeastern-schools,2024-2025,2025-04-04,2025-04-11,2024-12-23,2025-01-06,2025-05-28,2024-08-07,2024-08-07,2025-05-28,schoolcalendarinfo.com (current page)
Hampton City Schools 2025-2026 in PDF,Virginia,hampton-city-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-06-11,2024-08-26,2024-08-26,2025-06-11,schoolcalendarinfo.com (current page)
Hawaii Schools 2025-2026 | Hawaii State DOE,Hawaii,hawaii-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-30,2024-08-05,2024-08-05,2025-05-30,schoolcalendarinfo.com (current page)
Henry County Schools 2025-2026 in PDF,Georgia,henry-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-07,2025-05-23,2024-08-01,2024-08-01,2025-05-23,schoolcalendarinfo.com (current page)
Hernando County Schools 2025-2026 in PDF,Florida,hernando-county-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-30,2024-08-12,2024-08-12,2025-05-30,schoolcalendarinfo.com (current page)
Highland Park ISD 2025-2026 PDF (Dallas),Texas,highland-park-isd,2024-2025,2025-03-07,2025-03-14,2024-12-23,2025-01-06,2025-05-23,2024-08-14,2024-08-14,2025-05-23,schoolcalendarinfo.com (current page)
Houston County Schools 2025-2026 in PDF,Georgia,houston-county-schools,2024-2025,2025-03-28,2025-04-04,2024-12-23,2025-01-03,2025-05-21,2024-07-31,2024-07-31,2025-05-21,schoolcalendarinfo.com (current page)
